Organization,IP,Programme,Donor,Crisis,Status,BeneficiaryType,RuralUrban,Modality,RegionMap,DistrictMap,Settlement,Location,StartMonth,EndMonth,EndYear,LastUpdated,PIN,Target,PCM,CRFM,ReportYear,ProgrammeCategory,Id,Individuals,Households,Men,Women,Boys,Girls
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Tawakal IDPs Camp,31/01/2021,31/12/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,SHELTER,769,600,100,123,112,192,174
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Jiriyaale IDP Camp,31/01/2021,31/12/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,SHELTER,770,720,120,147,134,230,209
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Towfiiq IDP Camp,31/01/2021,31/12/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,SHELTER,771,6900,1150,1411,1283,2203,2004
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Eviction,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Buufow Bacaad,31/05/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,SHELTER,760,1800,300,336,267,667,531
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Eviction,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Cusman Qunle,31/05/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,SHELTER,761,1800,300,336,267,667,531
AYUUB,AYUUB,EMERGENCY SHELTER,SHF,Eviction,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Wakaalada,31/05/2021,31/10/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,SHELTER,762,1800,300,336,267,667,531
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Aw Xalow,N/A,31/08/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,136,9000,300,1874,1816,2684,2628
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Aw Xalow,Aw Yaalle,31/08/2019,31/01/2020,2020,30/09/2022,2200000,1400000,Yes,No,2020,NFI,424,1800,236,336,268,666,530
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Buufow Bacaad,N/A,31/08/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,135,9000,300,1874,1816,2684,2628
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Buufow Bacaad,Buufow Bacaad,31/08/2019,31/01/2020,2020,30/09/2022,2200000,1400000,Yes,No,2020,NFI,427,1800,236,336,268,666,530
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Cusman Qule,N/A,31/08/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,134,9000,300,1874,1816,2684,2628
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Cusman Qule,Cusmaan Qunle,31/08/2019,31/01/2020,2020,30/09/2022,2200000,1400000,Yes,No,2020,NFI,429,1800,236,336,268,666,530
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,N/A,31/08/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,128,9000,300,1874,1816,2684,2628
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,N/A,31/08/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,133,9000,300,1874,1816,2684,2628
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Abeylow,31/08/2019,31/01/2020,2020,30/09/2022,2200000,1400000,Yes,Unk,2020,NFI,421,1800,236,336,268,666,530
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Nurta Taliyow,31/08/2019,31/01/2020,2020,30/09/2022,2200000,1400000,Yes,Unk,2020,NFI,431,1800,236,336,268,666,530
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Banadir,#N/A,Mogadishu,Bakad IDP Camp,30/06/2022,31/08/2022,2022,30/09/2022,3600000,1200000,Unk,Unk,2022,NFI,1205,5700,950,1010,947,1931,1811
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Banadir,#N/A,Mogadishu,Kismaayo IDPs Camp,30/06/2022,30/09/2022,2022,30/09/2022,3600000,1200000,Unk,Unk,2022,NFI,1206,5100,850,904,848,1728,1621
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Banadir,#N/A,Mogadishu,Raxmatu Rabbi IDP Camp,30/06/2022,30/09/2022,2022,30/09/2022,3600000,1200000,Unk,Unk,2022,NFI,1207,5100,850,904,848,1728,1621
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Banadir,#N/A,Mogadishu,Bishaaro IDP Camp,30/06/2022,31/08/2022,2022,30/09/2022,3600000,1200000,Unk,Unk,2022,NFI,1208,5100,850,904,848,1728,1621
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Banadir,#N/A,Mogadishu,Banaaney,30/06/2022,31/08/2022,2022,30/09/2022,3600000,1200000,No,Yes,2022,NFI,1204,6000,1000,1063,997,2033,1907
AYUUB,AYUUB,NFI KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Lower Shabelle,Qoryooley,Qoryooley/Halane,N/A,31/01/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,81,16800,2800,3496,3388,5010,4906
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Wanla Weyn,Wanla Weyn,Shanta Kulan,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,744,1560,260,287,238,565,469
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Wanla Weyn,Wanla Weyn,Bakaal,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,739,1320,220,243,202,478,397
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Wanla Weyn,Wanla Weyn,Teendhada,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,756,1920,320,354,294,696,577
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Wanla Weyn,Wanla Weyn/Malable,Malable,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,742,1500,250,276,229,543,451
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Wanla Weyn,Wanla Weyn/Xawo Tako,Hakawo,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,754,1800,300,332,275,652,541
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Aw Xalow,KM50,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,736,900,150,168,134,333,265
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Abeylow,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,749,1800,300,336,267,667,531
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Cusman Qunle,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,752,1800,300,336,267,667,531
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka,Aw yaale,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,751,1800,300,336,267,667,531
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Rural,In-Kind,Lower Shabelle,Marka,Marka/Horseet Lanti 1,Nurta Taliyow,30/11/2020,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,750,1800,300,336,267,667,531
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Towfiiq,31/01/2021,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,759,2850,475,583,530,910,828
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Towfiiq,31/08/2021,31/12/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,767,1740,290,356,324,555,505
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Sheikh Omar,31/01/2021,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,757,1980,330,405,368,632,575
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Sheikh Omar,31/08/2021,31/12/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,764,1740,290,356,324,555,505
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Biyaasa,31/01/2021,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,737,1260,210,258,234,402,366
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Biyaasa,31/08/2021,31/12/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,763,1740,290,356,324,555,505
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Jiliyaale,31/01/2021,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,758,2340,390,478,435,747,679
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Jiliyaale,31/08/2021,31/12/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,765,1740,290,356,324,555,505
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Tawakal,31/01/2021,31/03/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,740,1470,245,301,273,469,427
AYUUB,AYUUB,NFI KITS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Middle Shabelle,Jowhar,Jowhar,Tawakal,31/08/2021,31/12/2021,2021,30/09/2022,3200000,2500000,No,Unk,2021,NFI,766,1740,290,356,324,555,505
AYUUB,AYUUB,NFI NON KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Lower Shabelle,Qoryooley,Buulo Siidow,N/A,31/01/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,84,16800,2800,3496,3388,5010,4906
AYUUB,AYUUB,NFI NON KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Lower Shabelle,Qoryooley,Degaybere,N/A,31/01/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,83,16800,2800,3496,3388,5010,4906
AYUUB,AYUUB,NFI NON KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Lower Shabelle,Qoryooley,Qoryooley,N/A,31/01/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,86,16800,2800,3496,3388,5010,4906
AYUUB,AYUUB,NFI NON KITS,SHF,Drought,Completed,NIDP,Urban,In-Kind,Lower Shabelle,Qoryooley,Buufow-Shiidka,N/A,31/01/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,85,16800,2800,3496,3388,5010,4906
CCBRS,CCBRS,SHELTER REPAIR,SHF,Flood,Completed,NIDP,Mixed,Cash,Awdal,Lughaye,Lughaye,N/A,31/08/2018,31/01/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,1,2016,336,500,516,500,500
CCBRS,CCBRS,SHELTER REPAIR,SHF,Flood,Completed,NIDP,Mixed,Cash,Awdal,Lughaye,Lughaye,N/A,31/08/2018,31/01/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,2,984,164,280,290,214,200
Direct Aid Kuwait,Direct Aid Somalia,EMERGENCY SHELTER,Kuwaiti Society,Drought,Completed,NIDP,Urban,In-Kind,Banadir,Banadir,Dharkenley,N/A,30/06/2019,30/06/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,87,6000,1000,1248,1210,1790,1752
DRC,DRC,EAPS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Bulo Burto,Bulo Burto,N/A,30/11/2018,31/03/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,24,5760,960,982,1018,2114,1646
DRC,DRC,EAPS,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Jalalaqsi,Jalalaqsi,N/A,30/11/2018,31/03/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,26,2400,400,500,484,716,700
DRC,DRC,EMERGENCY SHELTER,ECHO,Conflict/Insecurity,Completed,NIDP,Urban,In-Kind,Mudug,Gaalkacyo,Dagaari,"South Galkayo IDPs(Deegaan, Gargaar and Mahad-alle)",31/01/2021,30/09/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,SHELTER,775,142,20,28,26,45,42
DRC,DRC,EMERGENCY SHELTER,ECHO,Conflict/Insecurity,Completed,NIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Badhan,31/01/2021,31/10/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,SHELTER,778,1253,175,238,225,406,384
DRC,DRC,EMERGENCY SHELTER,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1124,720,120,117,107,259,238
DRC,DRC,EMERGENCY SHELTER,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Gedo,Doolow,Doolow,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1203,720,120,144,127,238,210
DRC,DRC,EMERGENCY SHELTER,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1127,720,120,108,108,253,252
DRC,DRC,EMERGENCY SHELTER,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Mudug,Gaalkacyo,Gaalkacyo,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1130,720,120,143,133,230,215
DRC,DRC,EMERGENCY SHELTER,ECHO,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,N/A,30/09/2020,31/12/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,668,9000,1174,1351,1344,3161,3145
DRC,DRC,EMERGENCY SHELTER,ECHO,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/11/2019,31/12/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,227,11160,1860,2322,2252,3328,3258
DRC,DRC,EMERGENCY SHELTER,ECHO,Flood,Ongoing,NIDP,Mixed,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,31/01/2021,31/12/2022,2022,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1126,1620,270,243,242,569,566
DRC,DRC,EMERGENCY SHELTER,ECHO,Flood,Ongoing,NIDP,Mixed,In-Kind,Middle Shabelle,Jowhar,Jowhar,N/A,31/01/2021,31/12/2022,2022,30/09/2022,3600000,1200000,No,No,2022,SHELTER,1132,1080,180,221,201,345,314
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Wadajir,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,623,606,79,91,90,213,212
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Bilis Diid - NB-3815-F05-005,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,616,1140,149,171,170,400,398
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Buulo qorax,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,617,1230,160,185,184,432,430
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Alla-amin,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,618,1367,178,205,204,480,478
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Matanaha,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,619,575,75,86,86,202,201
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Rajo,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,620,591,77,89,88,208,207
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Qaboobe,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,621,707,92,106,106,248,247
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Dugane,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,622,607,79,91,91,213,212
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Doofil,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,624,697,91,105,104,245,244
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Dabbadey,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,625,733,96,110,109,257,256
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Daryeel,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,626,912,119,137,136,320,319
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Jumbur,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,627,965,126,145,144,339,337
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Fatxi,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,628,736,96,110,110,258,257
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Naxariis,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,629,564,74,85,84,198,197
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Shiilow,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,630,1436,187,215,214,504,502
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Kulmiye,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,631,525,68,79,78,184,183
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Cadileey,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,632,569,74,85,85,200,199
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Doonsubagle,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,633,673,88,101,100,236,235
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Towfiiq,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,634,422,55,63,63,148,147
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Mixed,Cash,Hiraan,Belet Weyne,Belet Weyne,Cadaani,31/12/2019,31/05/2020,2020,30/09/2022,2200000,1400000,Unk,Unk,2020,SHELTER,635,398,52,60,59,140,139
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/11/2018,31/03/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,21,10800,1800,1840,1906,3966,3088
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/11/2018,30/04/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,35,2004,334,342,354,736,572
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Bulo Burto,Bulo Burto,N/A,30/11/2018,31/03/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,23,4800,800,818,848,1762,1372
DRC,DRC,EMERGENCY SHELTER,SHF,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Jalalaqsi,Jalalaqsi,N/A,30/11/2018,31/03/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,SHELTER,25,2400,400,500,484,716,700
DRC,DRC,NFI KITS,ECHO,Conflict/Insecurity,Completed,NIDP,Rural,In-Kind,Gedo,Doolow,Doolow,Kabasa,31/08/2021,31/10/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,NFI,776,1080,180,216,191,357,316
DRC,DRC,NFI KITS,ECHO,Conflict/Insecurity,Completed,NIDP,Urban,In-Kind,Banadir,Banadir,Daynile,N/A,31/01/2019,31/05/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,39,2122,340,442,428,632,620
DRC,DRC,NFI KITS,ECHO,Conflict/Insecurity,Completed,NIDP,Urban,In-Kind,Banadir,Banadir,Daynile,N/A,31/01/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,130,2122,340,442,428,632,620
DRC,DRC,NFI KITS,ECHO,Conflict/Insecurity,Completed,NIDP,Urban,In-Kind,Sanaag,Laasqoray,Badhan,Badhan,31/01/2021,31/10/2021,2021,30/09/2022,3200000,2500000,Unk,Unk,2021,NFI,777,1253,175,238,225,406,384
DRC,DRC,NFI KITS,ECHO,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa/Bardaale/Laanta 4A,N/A,28/02/2019,31/08/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,113,2640,440,792,924,396,528
DRC,DRC,NFI KITS,ECHO,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa/Bardaale/Laanta 4A,N/A,28/02/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,129,2640,440,792,924,396,528
DRC,DRC,NFI KITS,ECHO,Drought,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa/Bardaale/Laanta 6A,N/A,31/01/2019,31/10/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,131,4200,700,1260,1470,630,840
DRC,DRC,NFI KITS,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,NFI,1125,3000,500,486,446,1078,990
DRC,DRC,NFI KITS,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Gedo,Doolow,Doolow,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,NFI,1202,3000,500,600,530,993,877
DRC,DRC,NFI KITS,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,NFI,1129,3000,500,450,448,1054,1048
DRC,DRC,NFI KITS,ECHO,Drought,Ongoing,NIDP,Urban,In-Kind,Mudug,Gaalkacyo,Gaalkacyo,N/A,30/04/2022,31/03/2023,2023,30/09/2022,3600000,1200000,No,No,2022,NFI,1131,3000,500,594,555,956,894
DRC,DRC,NFI KITS,ECHO,Flood,Completed,NIDP,Urban,In-Kind,Bay,Baidoa,Baidoa,N/A,31/01/2022,28/02/2022,2022,30/09/2022,3600000,1200000,No,No,2022,NFI,987,4200,700,680,625,1509,1386
DRC,DRC,NFI KITS,ECHO,Flood,Completed,NIDP,Urban,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,30/11/2019,31/12/2019,2019,30/09/2022,2300000,1600000,Unk,Unk,2019,NFI,226,12120,2020,2522,2444,3614,3538
DRC,DRC,NFI KITS,ECHO,Flood,Ongoing,NIDP,Mixed,In-Kind,Hiraan,Belet Weyne,Belet Weyne,N/A,31/01/2021,31/12/2022,2022,30/09/2022,3600000,1200000,No,No,2022,NFI,1128,1620,270,243,242,569,566
DRC,DRC,NFI KITS,ECHO,Flood,Ongoing,NIDP,Mixed,In-Kind,Middle Shabelle,Jowhar,Jowhar,N/A,31/01/2021,31/12/2022,2022,30/09/2022,3600000,1200000,No,No,2022,NFI,1133,1080,180,221,201,345,314
